episode,step,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate,cache_overlap,cache_diversity
1.0,0.0,-15.6,0.0,0.0,1.0,0.0,1.0,0.0
1.0,1.0,4.0,0.07142857142857142,0.0,0.9285714285714286,0.07142857142857142,1.0,0.0
1.0,2.0,8.0,0.1,0.0,0.9,0.1,1.0,0.0
1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,4.0,8.0,0.1111111111111111,0.0,0.8888888888888888,0.1111111111111111,1.0,0.0
1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,11.0,8.0,0.2857142857142857,0.0,0.7142857142857143,0.2857142857142857,1.0,0.0
1.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,15.0,4.0,0.05263157894736842,0.0,0.9473684210526315,0.05263157894736842,1.0,0.0
1.0,16.0,4.0,0.06666666666666667,0.0,0.9333333333333333,0.06666666666666667,1.0,0.0
1.0,17.0,4.0,0.05,0.0,0.95,0.05,1.0,0.0
1.0,18.0,8.0,0.08,0.0,0.92,0.08,1.0,0.0
1.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,20.0,8.0,0.08695652173913043,0.0,0.9130434782608695,0.08695652173913043,1.0,0.0
1.0,21.0,4.0,0.029411764705882353,0.0,0.9705882352941176,0.029411764705882353,1.0,0.0
1.0,22.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,23.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,24.0,4.0,0.04,0.0,0.96,0.04,1.0,0.0
1.0,25.0,4.0,0.05263157894736842,0.0,0.9473684210526315,0.05263157894736842,1.0,0.0
1.0,26.0,8.0,0.1,0.0,0.9,0.1,1.0,0.0
1.0,27.0,4.0,0.045454545454545456,0.0,0.9545454545454546,0.045454545454545456,1.0,0.0
1.0,28.0,4.0,0.045454545454545456,0.0,0.9545454545454546,0.045454545454545456,1.0,0.0
1.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,0.0,-7.599999999999998,0.09090909090909091,0.0,0.9090909090909091,0.09090909090909091,1.0,0.0
2.0,1.0,4.0,0.06666666666666667,0.0,0.9333333333333333,0.06666666666666667,1.0,0.0
2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,3.0,4.0,0.03225806451612903,0.0,0.967741935483871,0.03225806451612903,1.0,0.0
2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,13.0,4.0,0.125,0.0,0.875,0.125,1.0,0.0
2.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,15.0,8.0,0.10526315789473684,0.0,0.8947368421052632,0.10526315789473684,1.0,0.0
2.0,16.0,4.0,0.043478260869565216,0.0,0.9565217391304348,0.043478260869565216,1.0,0.0
2.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,18.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,20.0,4.0,0.06666666666666667,0.0,0.9333333333333333,0.06666666666666667,1.0,0.0
2.0,21.0,4.0,0.06666666666666667,0.0,0.9333333333333333,0.06666666666666667,1.0,0.0
2.0,22.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,23.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,24.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,25.0,4.0,0.05263157894736842,0.0,0.9473684210526315,0.05263157894736842,1.0,0.0
2.0,26.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,27.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,0.0,-7.799999999999999,0.15384615384615385,0.0,0.8461538461538461,0.15384615384615385,1.0,0.0
3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,4.0,4.0,0.04,0.0,0.96,0.04,1.0,0.0
3.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,8.0,4.0,0.1,0.0,0.9,0.1,1.0,0.0
3.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,11.0,4.0,0.1,0.0,0.9,0.1,1.0,0.0
3.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,14.0,4.0,0.1111111111111111,0.0,0.8888888888888888,0.1111111111111111,1.0,0.0
3.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,16.0,4.0,0.05263157894736842,0.0,0.9473684210526315,0.05263157894736842,1.0,0.0
3.0,17.0,8.0,0.14285714285714285,0.0,0.8571428571428571,0.14285714285714285,1.0,0.0
3.0,18.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,21.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,22.0,4.0,0.045454545454545456,0.0,0.9545454545454546,0.045454545454545456,1.0,0.0
3.0,23.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,24.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,25.0,4.0,0.05263157894736842,0.0,0.9473684210526315,0.05263157894736842,1.0,0.0
3.0,26.0,4.0,0.05,0.0,0.95,0.05,1.0,0.0
3.0,27.0,4.0,0.041666666666666664,0.0,0.9583333333333334,0.041666666666666664,1.0,0.0
3.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
