scheme,episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate
TemporalGraph,1,167.90000000,0.29937500,0.08333333,0.56729167,0.38270833
TemporalGraph,2,91.00000000,0.17247294,0.16689665,0.61063041,0.33936959
TemporalGraph,3,182.30000000,0.36104167,0.12875000,0.46020833,0.48979167
AWFDRL,1,229.60000000,0.41839286,0.13202381,0.37458333,0.55041667
AWFDRL,2,254.30000000,0.42076389,0.08979167,0.38944444,0.51055556
AWFDRL,3,216.10000000,0.35369048,0.15130952,0.42000000,0.50500000
MAAFDRL,1,131.70000000,0.26226190,0.11898810,0.56875000,0.38125000
MAAFDRL,2,112.50000000,0.19431548,0.05360119,0.65208333,0.24791667
MAAFDRL,3,109.50000000,0.26902778,0.09533911,0.58563312,0.36436688
DTS-DDPG,1,323.70000000,0.53970238,0.10495040,0.30534722,0.64465278
DTS-DDPG,2,228.60000000,0.34857143,0.16440476,0.43702381,0.51297619
DTS-DDPG,3,254.80000000,0.46395833,0.13083333,0.35520833,0.59479167
