scheme,episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate
TemporalGraph,1,288.80000000,0.43604167,0.05812500,0.45583333,0.49416667
TemporalGraph,2,270.40000000,0.43205087,0.05166667,0.46628247,0.48371753
TemporalGraph,3,325.70000000,0.54770833,0.06180556,0.34048611,0.60951389
MAAFDRL,1,130.50000000,0.33515873,0.09339286,0.49644841,0.42855159
MAAFDRL,2,98.50000000,0.20076389,0.06006944,0.63916667,0.26083333
MAAFDRL,3,97.70000000,0.21654762,0.10845238,0.60000000,0.32500000
Thompson,1,-100.00000000,0.01875000,0.02083333,0.91041667,0.03958333
Thompson,2,-105.00000000,0.00000000,0.05687500,0.84312500,0.05687500
Thompson,3,-108.90000000,0.00000000,0.00896916,0.94103084,0.00896916
LFU,1,143.20000000,0.26296627,0.09346230,0.59357143,0.35642857
LFU,2,138.20000000,0.24089286,0.05166667,0.65744048,0.29255952
LFU,3,101.20000000,0.19375000,0.08291667,0.67333333,0.27666667
LRU,1,53.00000000,0.13232143,0.06005952,0.78261905,0.19238095
LRU,2,84.50000000,0.13946429,0.08322511,0.70231061,0.22268939
LRU,3,154.80000000,0.26005952,0.08886905,0.57607143,0.34892857
